cripto_name,cripto_code,price_usd
Bitcoin,BTC,38048.80
Ethereum,ETH,2579.11
Tether,USDT,1.00
BNB,BNB,390.50
USD Coin,USDC,1.00
Cardano,ADA,1.07
Solana,SOL,97.00
XRP,XRP,0.62
Terra,LUNA,52.72
Dogecoin,DOGE,0.14
